scenario_capacity_kwp,annual_yield_kwh_per_kwp,annual_generation_kwh,annual_generation_mwh,estimated_co2_savings_tonnes
100,1112.7287699999997,111272.87699999998,111.27287699999998,42.28369325999999
500,1112.7287699999997,556364.3849999999,556.3643849999999,211.41846629999998
1000,1112.7287699999997,1112728.7699999998,1112.7287699999997,422.83693259999995
